Ort,AGS,Tablets je 100 Schüler,Aussage Tablets,Laptops je 100 Schüler,Aussage L,Desktoprechner je 100 Schüler,Aussage D,Whiteboards je 100 Schüler,Aussage W,Ausgaben je Schüler,Aussage A,Mittelwert NRW Tablets,Mittelwert NRW Laptops,Mittelwert NRW Desktop,Mittelwert NRW Whiteboards,Mittelwert NRW Ausgaben,Anzahl_Schüler,Bemerkungen
Ennigerloh,5570020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Erndtebrück,5970012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Eslohe (Sauerland),5958016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Everswinkel,5570024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Finnentrop,5966012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Geldern,5154012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Grevenbroich,5162008,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Gütersloh,5754008,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Halver,5962012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Hamminkeln,5170012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Havixbeck,5558020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Heiden,5554028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Heiligenhaus,5158012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Hemer,5962016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Herscheid,5962020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Herzebrock-Clarholz,5754020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Holzwickede,5978016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Horn-Bad Meinberg,5766032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Horstmar,5566024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Hückelhoven,5370020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Hüllhorst,5770016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Ibbenbüren,5566028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Kalkar,5154024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Kall,5366024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Kalletal,5766036,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Kerken,5154028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Kevelaer,5154032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Königswinter,5382024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Krefeld,5114000,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Kreuzau,5358028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Langerwehe,5358032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Leichlingen (Rhld.),5378016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Leverkusen,5316000,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Lienen,5566044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Lippetal,5974024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Lotte,5566048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Marl,5562024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Meckenheim,5382032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Merzenich,5358040,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Minden,5770024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Nettersheim,5366032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Neuenrade,5962048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Neukirchen-Vluyn,5170028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Niederkassel,5382044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Niederkrüchten,5166020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Niederzier,5358048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Nörvenich,5358052,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Ostbevern,5570032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Petershagen,5770028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Plettenberg,5962052,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Pulheim,5362036,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Recke,5566072,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Reken,5554044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Rheda-Wiedenbrück,5754028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Rietberg,5754032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Roetgen,5334024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Rösrath,5378028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Schalksmühle,5962056,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Schleiden,5366036,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Schöppingen,5554052,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Selfkant,5370024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Siegburg,5382060,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Spenge,5758032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Sprockhövel,5954028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Steinhagen,5754040,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Steinheim,5762032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Stolberg (Rhld.),5334032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Telgte,5570044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Übach-Palenberg,5370028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Verl,5754044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Versmold,5754048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Wassenberg,5370036,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Welver,5974048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Westerkappeln,5566092,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Wetter (Ruhr),5954032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Wettringen,5566096,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Zülpich,5366044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Aachen,5334002,"3,2",⬇,"1,1",⬇,"14,2",⬆,"0,2",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",20500,
Ahaus,5554004,"7,6",⬇,"4,7",⬆,"18,9",⬆,"4,2",⬆,"63,9",⬆,"7,8","3,3","10,4","1,2","57,2",4319,
Ahlen,5570004,"3,1",⬇,"3,9",⬆,"9,8",⬇,"0,4",⬇,"6,8",⬇,"7,8","3,3","10,4","1,2","57,2",5356,
Aldenhoven,5358004,5,⬇,"2,7",⬇,"8,6",⬇,"0,7",⬇,36,⬇,"7,8","3,3","10,4","1,2","57,2",555,
Alfter,5382004,"18,5",⬆,"2,2",⬇,"12,2",⬆,"0,2",⬇,"168,9",⬆,"7,8","3,3","10,4","1,2","57,2",817,
Alsdorf,5334004,"4,3",⬇,"7,3",⬆,"8,7",⬇,"0,1",⬇,"9,4",⬇,"7,8","3,3","10,4","1,2","57,2",4615,
Altena,5962004,"0,9",⬇,"6,1",⬆,"10,1",⬇,"0,3",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",1730,
Altenbeken,5774004,0,⬇,"2,4",⬇,"18,3",⬆,"0,6",⬇,"13,3",⬇,"7,8","3,3","10,4","1,2","57,2",327,
Altenberge,5566004,"21,6",⬆,"1,1",⬇,"12,8",⬆,0,⬇,"39,6",⬇,"7,8","3,3","10,4","1,2","57,2",454,
Anröchte,5974004,0,⬇,"1,2",⬇,"14,7",⬆,"0,8",⬇,"137,8",⬆,"7,8","3,3","10,4","1,2","57,2",945,
Arnsberg,5958004,"5,5",⬇,"2,5",⬇,"8,3",⬇,"2,2",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",6329,
Ascheberg,5558004,"39,4",⬆,"10,3",⬆,"14,2",⬆,"0,5",⬇,"146,8",⬆,"7,8","3,3","10,4","1,2","57,2",1009,
Augustdorf,5766004,"2,2",⬇,"3,5",⬆,"2,2",⬇,"0,2",⬇,"1,3",⬇,"7,8","3,3","10,4","1,2","57,2",930,
Bad Berleburg,5970004,"6,1",⬇,"5,4",⬆,"9,9",⬇,"1,5",⬆,"23,2",⬇,"7,8","3,3","10,4","1,2","57,2",2016,
Bad Driburg,5762004,"14,6",⬆,"12,9",⬆,"5,2",⬇,3,⬆,"62,7",⬆,"7,8","3,3","10,4","1,2","57,2",1356,
Bad Honnef,5382008,"10,4",⬆,"2,9",⬇,"5,6",⬇,"2,4",⬆,"67,7",⬆,"7,8","3,3","10,4","1,2","57,2",1828,
Bad Laasphe,5970028,"1,6",⬇,"7,3",⬆,"16,1",⬆,"0,5",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",1088,
Bad Lippspringe,5774008,"6,8",⬇,"1,5",⬇,"13,1",⬆,"4,3",⬆,"56,3",⬇,"7,8","3,3","10,4","1,2","57,2",1375,
Bad Oeynhausen,5770004,"1,1",⬇,"7,5",⬆,"12,3",⬆,"0,2",⬇,"31,9",⬇,"7,8","3,3","10,4","1,2","57,2",4951,
Bad Salzuflen,5766008,"4,1",⬇,"3,4",⬆,"11,5",⬆,"0,7",⬇,62,⬆,"7,8","3,3","10,4","1,2","57,2",5367,
Bad Sassendorf,5974008,"0,4",⬇,"0,8",⬇,"3,1",⬇,0,⬇,"10,4",⬇,"7,8","3,3","10,4","1,2","57,2",480,
Bad Wünnenberg,5774040,17,⬆,3,⬇,"18,5",⬆,"4,2",⬆,11,⬇,"7,8","3,3","10,4","1,2","57,2",1000,
Baesweiler,5334008,"0,6",⬇,1,⬇,"8,7",⬇,"1,3",⬆,22,⬇,"7,8","3,3","10,4","1,2","57,2",2769,
Balve,5962008,"10,4",⬆,3,⬇,"14,4",⬆,"2,7",⬆,"64,4",⬆,"7,8","3,3","10,4","1,2","57,2",827,
Barntrup,5766012,"3,2",⬇,"4,9",⬆,"13,4",⬆,"7,8",⬆,"52,8",⬇,"7,8","3,3","10,4","1,2","57,2",1042,
Beckum,5570008,"21,7",⬆,"3,7",⬆,"3,9",⬇,"0,1",⬇,"29,6",⬇,"7,8","3,3","10,4","1,2","57,2",3879,
Bedburg,5362004,"7,4",⬇,19,⬆,"8,8",⬇,"3,1",⬆,205,⬆,"7,8","3,3","10,4","1,2","57,2",2451,
Bedburg-Hau,5154004,0,⬇,"2,9",⬇,"19,3",⬆,"3,3",⬆,"81,5",⬆,"7,8","3,3","10,4","1,2","57,2",491,
Beelen,5570012,0,⬇,24,⬆,0,⬇,6,⬆,"75,1",⬆,"7,8","3,3","10,4","1,2","57,2",250,
Bergheim,5362008,"1,4",⬇,"3,1",⬇,"10,8",⬆,0,⬇,"12,6",⬇,"7,8","3,3","10,4","1,2","57,2",6788,
Bergisch Gladbach,5378004,"3,5",⬇,"3,9",⬆,"10,6",⬆,"1,1",⬇,"15,1",⬇,"7,8","3,3","10,4","1,2","57,2",12593,
Bergneustadt,5374004,"3,7",⬇,"12,9",⬆,"18,5",⬆,"0,5",⬇,"244,7",⬆,"7,8","3,3","10,4","1,2","57,2",1859,
Bestwig,5958008,"3,1",⬇,"2,6",⬇,"10,8",⬆,"4,2",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",646,
Beverungen,5762008,0,⬇,"4,7",⬆,"7,2",⬇,"2,3",⬆,"76,4",⬆,"7,8","3,3","10,4","1,2","57,2",1410,
Bielefeld,5711000,"3,5",⬇,"1,4",⬇,"12,7",⬆,"0,2",⬇,"27,6",⬇,"7,8","3,3","10,4","1,2","57,2",29294,
Billerbeck,5558008,"16,9",⬆,"13,6",⬆,18,⬆,"0,3",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",590,
Blankenheim,5366008,"13,6",⬆,"2,6",⬇,"5,3",⬇,"0,5",⬇,118,⬆,"7,8","3,3","10,4","1,2","57,2",1096,
Blomberg,5766016,100,⬆,"22,8",⬆,"2,7",⬇,"1,9",⬆,"64,7",⬆,"7,8","3,3","10,4","1,2","57,2",2087,
Bochum,5911000,"0,9",⬇,0,⬇,"23,6",⬆,"1,7",⬆,"12,2",⬇,"7,8","3,3","10,4","1,2","57,2",31355,
Bönen,5978008,0,⬇,"2,9",⬇,"7,9",⬇,"0,1",⬇,"1,6",⬇,"7,8","3,3","10,4","1,2","57,2",1878,
Bonn,5314000,"3,5",⬇,"0,7",⬇,"5,1",⬇,"0,3",⬇,79,⬆,"7,8","3,3","10,4","1,2","57,2",31644,
Borchen,5774012,"0,4",⬇,"2,9",⬇,"10,2",⬇,"0,9",⬇,"11,2",⬇,"7,8","3,3","10,4","1,2","57,2",926,
Borgentreich,5762012,"41,7",⬆,0,⬇,0,⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",230,
Borgholzhausen,5754004,0,⬇,"12,6",⬆,19,⬆,0,⬇,68,⬆,"7,8","3,3","10,4","1,2","57,2",294,
Borken,5554012,5,⬇,"1,6",⬇,13,⬆,"3,2",⬆,"87,2",⬆,"7,8","3,3","10,4","1,2","57,2",5089,
Bornheim,5382012,"13,9",⬆,"6,3",⬆,"15,2",⬆,"0,1",⬇,"68,6",⬆,"7,8","3,3","10,4","1,2","57,2",4718,
Bottrop,5512000,"8,7",⬆,"1,8",⬇,"12,2",⬆,"0,6",⬇,"23,1",⬇,"7,8","3,3","10,4","1,2","57,2",11346,
Brakel,5762016,"6,1",⬇,0,⬇,"15,6",⬆,"5,2",⬆,"34,4",⬇,"7,8","3,3","10,4","1,2","57,2",1540,
Breckerfeld,5954004,"12,9",⬆,"1,3",⬇,"8,1",⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",310,
Brilon,5958012,"2,9",⬇,13,⬆,"7,9",⬇,"3,2",⬆,"15,7",⬇,"7,8","3,3","10,4","1,2","57,2",2542,
Brühl,5362012,"15,6",⬆,2,⬇,"13,6",⬆,"0,9",⬇,"65,6",⬆,"7,8","3,3","10,4","1,2","57,2",4344,
Bünde,5758004,"21,3",⬆,"1,4",⬇,"6,4",⬇,"0,6",⬇,"128,9",⬆,"7,8","3,3","10,4","1,2","57,2",6299,
Burbach,5970008,"11,6",⬆,"7,7",⬆,"10,7",⬆,4,⬆,"31,8",⬇,"7,8","3,3","10,4","1,2","57,2",974,
Büren,5774016,"0,3",⬇,"4,2",⬆,"7,1",⬇,"7,1",⬆,109,⬆,"7,8","3,3","10,4","1,2","57,2",1679,
Burscheid,5378008,"2,9",⬇,"2,9",⬇,"11,6",⬆,"0,3",⬇,"14,5",⬇,"7,8","3,3","10,4","1,2","57,2",690,
Coesfeld,5558012,"16,7",⬆,0,⬇,5,⬇,"0,9",⬇,"116,8",⬆,"7,8","3,3","10,4","1,2","57,2",3854,
Dahlem,5366012,"16,2",⬆,"5,1",⬆,"5,6",⬇,"0,5",⬇,"12,7",⬇,"7,8","3,3","10,4","1,2","57,2",197,
Delbrück,5774020,"33,8",⬆,"1,9",⬇,"0,7",⬇,"0,1",⬇,"54,2",⬇,"7,8","3,3","10,4","1,2","57,2",3350,
Detmold,5766020,"5,2",⬇,"3,8",⬆,"16,9",⬆,"0,6",⬇,85,⬆,"7,8","3,3","10,4","1,2","57,2",7766,
