Ort,AGS,Tablets je 100 Schüler,Aussage Tablets,Laptops je 100 Schüler,Aussage L,Desktoprechner je 100 Schüler,Aussage D,Whiteboards je 100 Schüler,Aussage W,Ausgaben je Schüler,Aussage A,Mittelwert NRW Tablets,Mittelwert NRW Laptops,Mittelwert NRW Desktop,Mittelwert NRW Whiteboards,Mittelwert NRW Ausgaben,Bemerkungen
Augustdorf,5766004,"2,2",⬇,"3,5",⬆,"2,2",⬇,"0,2",⬇,"1,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Bad Berleburg,5970004,"6,1",⬇,"5,4",⬆,"9,9",⬇,"1,5",⬆,"23,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Bad Driburg,5762004,"14,6",⬆,"12,9",⬆,"5,2",⬇,3,⬆,"62,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Bad Honnef,5382008,"10,4",⬆,"2,9",⬇,"5,6",⬇,"2,4",⬆,"67,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Bad Laasphe,5970028,"1,6",⬇,"7,3",⬆,"16,1",⬆,"0,5",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Bad Lippspringe,5774008,"6,8",⬇,"1,5",⬇,"13,1",⬆,"4,3",⬆,"56,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Bad Münstereifel,5366004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Bad Oeynhausen,5770004,"1,1",⬇,"7,5",⬆,"12,3",⬆,"0,2",⬇,"31,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Bad Salzuflen,5766008,"4,1",⬇,"3,4",⬆,"11,5",⬆,"0,7",⬇,62,⬆,"7,8","3,3","10,4","1,2","57,2",
Bad Sassendorf,5974008,"0,4",⬇,"0,8",⬇,"3,1",⬇,0,⬇,"10,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Bad Wünnenberg,5774040,17,⬆,3,⬇,"18,5",⬆,"4,2",⬆,11,⬇,"7,8","3,3","10,4","1,2","57,2",
Baesweiler,5334008,"0,6",⬇,1,⬇,"8,7",⬇,"1,3",⬆,22,⬇,"7,8","3,3","10,4","1,2","57,2",
Balve,5962008,"10,4",⬆,3,⬇,"14,4",⬆,"2,7",⬆,"64,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Barntrup,5766012,"3,2",⬇,"4,9",⬆,"13,4",⬆,"7,8",⬆,"52,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Beckum,5570008,"21,7",⬆,"3,7",⬆,"3,9",⬇,"0,1",⬇,"29,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Bedburg,5362004,"7,4",⬇,19,⬆,"8,8",⬇,"3,1",⬆,205,⬆,"7,8","3,3","10,4","1,2","57,2",
Bedburg-Hau,5154004,0,⬇,"2,9",⬇,"19,3",⬆,"3,3",⬆,"81,5",⬆,"7,8","3,3","10,4","1,2","57,2",
Beelen,5570012,0,⬇,24,⬆,0,⬇,6,⬆,"75,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Bergheim,5362008,"1,4",⬇,"3,1",⬇,"10,8",⬆,0,⬇,"12,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Bergisch Gladbach,5378004,"3,5",⬇,"3,9",⬆,"10,6",⬆,"1,1",⬇,"15,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Bergkamen,5978004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Bergneustadt,5374004,"3,7",⬇,"12,9",⬆,"18,5",⬆,"0,5",⬇,"244,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Bestwig,5958008,"3,1",⬇,"2,6",⬇,"10,8",⬆,"4,2",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Beverungen,5762008,0,⬇,"4,7",⬆,"7,2",⬇,"2,3",⬆,"76,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Bielefeld,5711000,"3,5",⬇,"1,4",⬇,"12,7",⬆,"0,2",⬇,"27,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Billerbeck,5558008,"16,9",⬆,"13,6",⬆,18,⬆,"0,3",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Blankenheim,5366008,"13,6",⬆,"2,6",⬇,"5,3",⬇,"0,5",⬇,118,⬆,"7,8","3,3","10,4","1,2","57,2",
Blomberg,5766016,100,⬆,"22,8",⬆,"2,7",⬇,"1,9",⬆,"64,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Bocholt,5554008,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Bochum,5911000,"0,9",⬇,0,⬇,"23,6",⬆,"1,7",⬆,"12,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Bönen,5978008,0,⬇,"2,9",⬇,"7,9",⬇,"0,1",⬇,"1,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Bonn,5314000,"3,5",⬇,"0,7",⬇,"5,1",⬇,"0,3",⬇,79,⬆,"7,8","3,3","10,4","1,2","57,2",
Borchen,5774012,"0,4",⬇,"2,9",⬇,"10,2",⬇,"0,9",⬇,"11,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Borgentreich,5762012,"41,7",⬆,0,⬇,0,⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Borgholzhausen,5754004,0,⬇,"12,6",⬆,19,⬆,0,⬇,68,⬆,"7,8","3,3","10,4","1,2","57,2",
Borken,5554012,5,⬇,"1,6",⬇,13,⬆,"3,2",⬆,"87,2",⬆,"7,8","3,3","10,4","1,2","57,2",
Bornheim,5382012,"13,9",⬆,"6,3",⬆,"15,2",⬆,"0,1",⬇,"68,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Bottrop,5512000,"8,7",⬆,"1,8",⬇,"12,2",⬆,"0,6",⬇,"23,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Brakel,5762016,"6,1",⬇,0,⬇,"15,6",⬆,"5,2",⬆,"34,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Breckerfeld,5954004,"12,9",⬆,"1,3",⬇,"8,1",⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Brilon,5958012,"2,9",⬇,13,⬆,"7,9",⬇,"3,2",⬆,"15,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Brüggen,5166004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Brühl,5362012,"15,6",⬆,2,⬇,"13,6",⬆,"0,9",⬇,"65,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Bünde,5758004,"21,3",⬆,"1,4",⬇,"6,4",⬇,"0,6",⬇,"128,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Burbach,5970008,"11,6",⬆,"7,7",⬆,"10,7",⬆,4,⬆,"31,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Büren,5774016,"0,3",⬇,"4,2",⬆,"7,1",⬇,"7,1",⬆,109,⬆,"7,8","3,3","10,4","1,2","57,2",
Burscheid,5378008,"2,9",⬇,"2,9",⬇,"11,6",⬆,"0,3",⬇,"14,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Castrop-Rauxel,5562004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Coesfeld,5558012,"16,7",⬆,0,⬇,5,⬇,"0,9",⬇,"116,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Dahlem,5366012,"16,2",⬆,"5,1",⬆,"5,6",⬇,"0,5",⬇,"12,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Datteln,5562008,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Delbrück,5774020,"33,8",⬆,"1,9",⬇,"0,7",⬇,"0,1",⬇,"54,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Detmold,5766020,"5,2",⬇,"3,8",⬆,"16,9",⬆,"0,6",⬇,85,⬆,"7,8","3,3","10,4","1,2","57,2",
Dinslaken,5170008,"3,4",⬇,"1,5",⬇,"10,8",⬆,"1,2",⬇,37,⬇,"7,8","3,3","10,4","1,2","57,2",
Dörentrup,5766024,"37,5",⬆,"1,7",⬇,"25,8",⬆,"2,9",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Dormagen,5162004,"11,7",⬆,"0,9",⬇,"5,5",⬇,"1,5",⬆,"18,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Dorsten,5562012,"0,8",⬇,"1,3",⬇,0,⬇,1,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Dortmund,5913000,10,⬆,"2,9",⬇,13,⬆,"3,1",⬆,"82,2",⬆,"7,8","3,3","10,4","1,2","57,2",
Drensteinfurt,5570016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Drolshagen,5966008,"12,4",⬆,1,⬇,"7,7",⬇,"0,4",⬇,"82,3",⬆,"7,8","3,3","10,4","1,2","57,2",
Duisburg,5112000,0,⬇,0,⬇,"17,5",⬆,0,⬇,"35,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Dülmen,5558016,"10,3",⬆,0,⬇,13,⬆,1,⬇,"44,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Düren,5358008,"4,4",⬇,"0,4",⬇,"9,5",⬇,"0,3",⬇,"70,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Düsseldorf,5111000,"35,6",⬆,"1,7",⬇,"4,6",⬇,"2,4",⬆,"18,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Eitorf,5382016,"2,1",⬇,"11,6",⬆,"20,5",⬆,"5,4",⬆,"32,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Elsdorf,5362016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Emmerich am Rhein,5154008,4,⬇,3,⬇,"7,4",⬇,"3,7",⬆,"181,5",⬆,"7,8","3,3","10,4","1,2","57,2",
Emsdetten,5566008,0,⬇,0,⬇,0,⬇,"2,1",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Engelskirchen,5374008,"8,8",⬆,"4,2",⬆,"10,8",⬆,"0,2",⬇,"33,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Enger,5758008,"9,9",⬆,"3,2",⬇,"5,9",⬇,"4,7",⬆,"123,2",⬆,"7,8","3,3","10,4","1,2","57,2",
Ennepetal,5954008,"1,5",⬇,"9,2",⬆,"22,1",⬆,"2,8",⬆,"46,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Ennigerloh,5570020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Ense,5974012,"11,7",⬆,"9,6",⬆,"4,9",⬇,"0,5",⬇,"59,3",⬆,"7,8","3,3","10,4","1,2","57,2",
Erftstadt,5362020,"0,7",⬇,2,⬇,"3,6",⬇,"0,1",⬇,"2,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Erkelenz,5370004,"1,7",⬇,"5,1",⬆,"13,1",⬆,"1,7",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Erkrath,5158004,0,⬇,"4,2",⬆,"11,5",⬆,"1,5",⬆,8,⬇,"7,8","3,3","10,4","1,2","57,2",
Erndtebrück,5970012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Erwitte,5974016,"0,2",⬇,"7,8",⬆,"11,2",⬆,"0,6",⬇,"54,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Eschweiler,5334012,"0,9",⬇,"1,4",⬇,"7,2",⬇,"0,5",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Eslohe (Sauerland),5958016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Espelkamp,5770008,"2,9",⬇,"1,3",⬇,"21,4",⬆,"0,5",⬇,"17,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Essen,5113000,"4,3",⬇,"1,9",⬇,"4,6",⬇,"0,2",⬇,"113,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Euskirchen,5366016,"3,4",⬇,"2,1",⬇,"13,2",⬆,"3,1",⬆,"131,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Everswinkel,5570024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Extertal,5766028,"2,7",⬇,"1,2",⬇,"15,2",⬆,"0,2",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Finnentrop,5966012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Frechen,5362024,0,⬇,"2,4",⬇,"13,9",⬆,"0,1",⬇,"22,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Freudenberg,5970016,"3,1",⬇,"9,5",⬆,7,⬇,"0,6",⬇,"21,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Fröndenberg/Ruhr,5978012,15,⬆,"3,1",⬇,"3,9",⬇,"2,4",⬆,"71,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Gangelt,5370008,"0,4",⬇,"1,7",⬇,"6,5",⬇,"6,7",⬆,"31,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Geilenkirchen,5370012,"4,4",⬇,0,⬇,0,⬇,"0,6",⬇,"10,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Geldern,5154012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Gelsenkirchen,5513000,0,⬇,"17,5",⬆,"16,5",⬆,"5,4",⬆,"67,5",⬆,"7,8","3,3","10,4","1,2","57,2",
Gescher,5554016,13,⬆,0,⬇,0,⬇,4,⬆,26,⬇,"7,8","3,3","10,4","1,2","57,2",
Geseke,5974020,"13,4",⬆,2,⬇,"10,2",⬇,"0,3",⬇,"10,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Gevelsberg,5954012,"6,4",⬇,"3,2",⬇,"9,5",⬇,"0,9",⬇,54,⬇,"7,8","3,3","10,4","1,2","57,2",
Gladbeck,5562014,"2,2",⬇,4,⬆,"9,1",⬇,"0,5",⬇,"73,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Goch,5154016,"1,3",⬇,"4,1",⬆,"13,9",⬆,1,⬇,"55,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Grefrath,5166008,"18,6",⬆,"1,7",⬇,"2,7",⬇,"0,6",⬇,"48,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Greven,5566012,"3,8",⬇,"6,3",⬆,"6,4",⬇,"5,6",⬆,"70,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Grevenbroich,5162008,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Gronau (Westf.),5554020,"21,4",⬆,"0,3",⬇,13,⬆,"2,9",⬆,"40,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Gummersbach,5374012,"9,5",⬆,"10,6",⬆,"17,3",⬆,"0,7",⬇,"30,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Gütersloh,5754008,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Haan,5158008,"5,2",⬇,"2,2",⬇,"12,9",⬆,"5,6",⬆,"169,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Hagen,5914000,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,"7,8","3,3","10,4","1,2","50,4",
Halle (Westf.),5754012,"30,7",⬆,"2,1",⬇,"12,4",⬆,"4,6",⬆,"289,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Hallenberg,5958020,25,⬆,"12,5",⬆,0,⬇,4,⬆,225,⬆,"7,8","3,3","10,4","1,2","57,2",
Haltern am See,5562016,"9,2",⬆,"5,9",⬆,"8,6",⬇,"0,5",⬇,"26,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Halver,5962012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Hamm,5915000,"11,9",⬆,"2,5",⬇,"16,4",⬆,"0,1",⬇,"23,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Hamminkeln,5170012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Harsewinkel,5754016,"4,9",⬇,"4,9",⬆,"12,1",⬆,"0,1",⬇,"47,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Hattingen,5954016,"3,5",⬇,"2,7",⬇,"7,1",⬇,"0,6",⬇,"7,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Havixbeck,5558020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Heek,5554024,"16,8",⬆,"1,6",⬇,"13,7",⬆,"0,4",⬇,"68,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Heiden,5554028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Heiligenhaus,5158012,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Heimbach,5358012,0,⬇,"0,8",⬇,0,⬇,"7,6",⬆,"56,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Heinsberg,5370016,0,⬇,"3,1",⬇,"11,9",⬆,"4,7",⬆,"124,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Hellenthal,5366020,0,⬇,0,⬇,5,⬇,"3,5",⬆,"253,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Hemer,5962016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Hennef (Sieg),5382020,"7,6",⬇,"6,3",⬆,17,⬆,"5,7",⬆,115,⬆,"7,8","3,3","10,4","1,2","57,2",
Herdecke,5954020,"9,1",⬆,"6,9",⬆,"4,2",⬇,"3,5",⬆,"31,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Herford,5758012,"2,9",⬇,"1,7",⬇,"13,3",⬆,"0,3",⬇,"67,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Herne,5916000,"0,2",⬇,"0,6",⬇,"8,2",⬇,1,⬇,"11,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Herscheid,5962020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Herten,5562020,"1,1",⬇,"3,3",⬇,"8,3",⬇,"0,7",⬇,"45,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Herzebrock-Clarholz,5754020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Herzogenrath,5334016,"5,5",⬇,1,⬇,"10,7",⬆,"1,6",⬆,"64,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Hiddenhausen,5758016,"3,1",⬇,"4,5",⬆,"8,8",⬇,"0,2",⬇,"62,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Hilchenbach,5970020,"9,3",⬆,"4,7",⬆,"6,3",⬇,"0,5",⬇,"23,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Hilden,5158016,"0,8",⬇,"6,3",⬆,"11,1",⬆,"2,4",⬆,"41,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Hille,5770012,"6,5",⬇,"5,1",⬆,"2,3",⬇,"1,4",⬆,"130,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Holzwickede,5978016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Hopsten,5566020,"1,6",⬇,"1,2",⬇,"13,4",⬆,"6,2",⬆,"113,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Horn-Bad Meinberg,5766032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Hörstel,5566016,"15,5",⬆,"1,7",⬇,"7,2",⬇,0,⬇,"6,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Horstmar,5566024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Hövelhof,5774024,"12,9",⬆,"2,5",⬇,"11,5",⬆,"1,1",⬇,"75,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Höxter,5762020,"5,7",⬇,"9,3",⬆,"6,4",⬇,"1,6",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Hückelhoven,5370020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Hückeswagen,5374016,"2,3",⬇,"8,2",⬆,"10,2",⬇,1,⬇,"39,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Hüllhorst,5770016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Hünxe,5170016,"3,4",⬇,"4,5",⬆,"4,1",⬇,"3,1",⬆,"164,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Hürtgenwald,5358016,31,⬆,0,⬇,"5,8",⬇,"5,1",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Hürth,5362028,"0,8",⬇,"4,8",⬆,"15,2",⬆,"0,6",⬇,"28,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Ibbenbüren,5566028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Inden,5358020,"0,2",⬇,"4,3",⬆,"19,2",⬆,"0,9",⬇,"45,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Iserlohn,5962024,"8,9",⬆,0,⬇,0,⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Isselburg,5554032,12,⬆,"1,6",⬇,18,⬆,"0,4",⬇,100,⬆,"7,8","3,3","10,4","1,2","57,2",
Issum,5154020,1,⬇,8,⬆,5,⬇,"2,8",⬆,225,⬆,"7,8","3,3","10,4","1,2","57,2",
Jüchen,5162012,"8,7",⬆,"0,7",⬇,"6,2",⬇,0,⬇,"18,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Jülich,5358024,"6,7",⬇,"1,6",⬇,"17,9",⬆,"0,9",⬇,35,⬇,"7,8","3,3","10,4","1,2","57,2",
Kaarst,5162016,"3,5",⬇,"2,7",⬇,"8,9",⬇,"2,4",⬆,"60,5",⬆,"7,8","3,3","10,4","1,2","57,2",
